cell_name,donor_short_id,donor_long_id,study_accession,sample_accession,ENA_Accession
25475_8#162,uilk_3,HPSI0614i-uilk_3,PRJEB14362,SAMEA104677212,ERR2980814
25475_8#163,qehq_3,HPSI0914i-qehq_3,PRJEB14362,SAMEA104677213,ERR2980815
25475_8#164,juuy_2,HPSI1014i-juuy_2,PRJEB14362,SAMEA104677214,ERR2980816
25475_8#165,qehq_3,HPSI0914i-qehq_3,PRJEB14362,SAMEA104677215,ERR2980817
25475_8#166,juuy_2,HPSI1014i-juuy_2,PRJEB14362,SAMEA104677216,ERR2980818
25475_8#167,juuy_2,HPSI1014i-juuy_2,PRJEB14362,SAMEA104677217,ERR2980819
25475_8#172,qehq_3,HPSI0914i-qehq_3,PRJEB14362,SAMEA104677222,ERR2980824
25475_8#173,pipw_5,HPSI0714i-pipw_5,PRJEB14362,SAMEA104677223,ERR2980825
25475_8#174,juuy_2,HPSI1014i-juuy_2,PRJEB14362,SAMEA104677224,ERR2980826
25475_8#175,juuy_2,HPSI1014i-juuy_2,PRJEB14362,SAMEA104677225,ERR2980827
25475_8#176,uilk_3,HPSI0614i-uilk_3,PRJEB14362,SAMEA104677226,ERR2980828
25475_8#177,juuy_2,HPSI1014i-juuy_2,PRJEB14362,SAMEA104677227,ERR2980829
25475_8#178,juuy_2,HPSI1014i-juuy_2,PRJEB14362,SAMEA104677228,ERR2980830
25475_8#179,juuy_2,HPSI1014i-juuy_2,PRJEB14362,SAMEA104677229,ERR2980831
25475_8#180,juuy_2,HPSI1014i-juuy_2,PRJEB14362,SAMEA104677230,ERR2980832
25475_8#181,qehq_3,HPSI0914i-qehq_3,PRJEB14362,SAMEA104677231,ERR2980833
25475_8#182,qehq_3,HPSI0914i-qehq_3,PRJEB14362,SAMEA104677232,ERR2980834
25475_8#183,qehq_3,HPSI0914i-qehq_3,PRJEB14362,SAMEA104677233,ERR2980835
25475_8#184,juuy_2,HPSI1014i-juuy_2,PRJEB14362,SAMEA104677234,ERR2980836
25475_8#185,pipw_5,HPSI0714i-pipw_5,PRJEB14362,SAMEA104677235,ERR2980837
25475_8#186,juuy_2,HPSI1014i-juuy_2,PRJEB14362,SAMEA104677236,ERR2980838
25475_8#187,juuy_2,HPSI1014i-juuy_2,PRJEB14362,SAMEA104677237,ERR2980839
25475_8#188,juuy_2,HPSI1014i-juuy_2,PRJEB14362,SAMEA104677238,ERR2980840
25475_8#190,qehq_3,HPSI0914i-qehq_3,PRJEB14362,SAMEA104677240,ERR2980842
25475_8#191,toco_5,HPSI0514i-toco_5,PRJEB14362,SAMEA104677241,ERR2980843
25475_8#196,juuy_2,HPSI1014i-juuy_2,PRJEB14362,SAMEA104677246,ERR2980848
25475_8#197,juuy_2,HPSI1014i-juuy_2,PRJEB14362,SAMEA104677247,ERR2980849
25475_8#198,juuy_2,HPSI1014i-juuy_2,PRJEB14362,SAMEA104677248,ERR2980850
25475_8#199,juuy_2,HPSI1014i-juuy_2,PRJEB14362,SAMEA104677265,ERR2980851
25475_8#200,juuy_2,HPSI1014i-juuy_2,PRJEB14362,SAMEA104677266,ERR2980852
25475_8#202,jejf_2,HPSI0914i-jejf_2,PRJEB14362,SAMEA104677268,ERR2980854
25475_8#203,qehq_3,HPSI0914i-qehq_3,PRJEB14362,SAMEA104677249,ERR2980855
25475_8#204,juuy_2,HPSI1014i-juuy_2,PRJEB14362,SAMEA104677250,ERR2980856
25475_8#205,qehq_3,HPSI0914i-qehq_3,PRJEB14362,SAMEA104677251,ERR2980857
25475_8#206,juuy_2,HPSI1014i-juuy_2,PRJEB14362,SAMEA104677252,ERR2980858
25475_8#207,qehq_3,HPSI0914i-qehq_3,PRJEB14362,SAMEA104677253,ERR2980859
25475_8#208,qehq_3,HPSI0914i-qehq_3,PRJEB14362,SAMEA104677254,ERR2980860
25475_8#209,qehq_3,HPSI0914i-qehq_3,PRJEB14362,SAMEA104677255,ERR2980861
25475_8#210,pipw_5,HPSI0714i-pipw_5,PRJEB14362,SAMEA104677256,ERR2980862
25475_8#211,juuy_2,HPSI1014i-juuy_2,PRJEB14362,SAMEA104677257,ERR2980863
25475_8#212,pipw_5,HPSI0714i-pipw_5,PRJEB14362,SAMEA104677258,ERR2980864
